6101,76,13,0,0,0,0,27,0,1002,47,0,1037,1481,2434,0,0,0,0,0,
30471983,883299,3140195,0,36838,0,0,4401,2031143,0,882809,0,1904981,5343140,9728408,2395774,878081,3673694,439122,0,
38674,6139,3726,159,0,0,0,161,0,0,6138,0,12,6948,21529,0,0,0,0,0,
2563,425,229,0,0,0,0,13,0,0,424,0,21,413,1459,0,0,0,0,0,
208994,14359,5130,0,0,0,0,5120,5120,5120,14358,0,28674,36868,63541,14337,14337,16388,0,0,
44468,483,3808,0,256,0,0,257,1984,0,482,0,3712,2816,20295,3136,3616,3200,0,0,
2220450,41106,397384,0,0,0,0,0,56,0,41105,0,262144,557056,438416,262144,0,262144,0,0,
3178882,139394,663616,0,0,0,0,0,131072,0,139393,0,4096,524288,1192128,262144,0,262144,0,0,
3178882,139394,925760,0,262144,0,0,0,131072,0,139393,0,4096,524288,1192128,0,0,0,0,0,
620729,98193,64848,0,0,0,0,0,0,0,98192,0,17,65796,391875,0,0,0,0,0,
815741,60696,22066,400,0,0,0,400,31444,0,60695,0,9848,70306,342189,77330,30932,154660,15466,0,
165378,4610,8448,0,0,0,0,0,0,0,4609,0,768,17152,64768,20480,8192,36864,4096,0,
551692,59264,132529,131,792,0,0,132,151,0,59112,151,33232,66071,259388,0,0,0,0,0,
721917,92618,117887,18829,26611,0,0,510,714,0,92617,0,27648,50176,380782,0,0,0,0,0,
1481875,22642,249824,0,0,0,0,65536,110592,0,22609,0,163840,292848,576545,0,0,0,0,0,
35269,3083,3572,494,0,0,0,494,0,494,3082,0,494,5493,17813,1666,0,1666,0,0,
52860,496,4446,0,494,0,0,0,494,0,495,0,494,15314,21242,4940,0,4940,0,0,
135085,2648,27594,0,19278,0,0,252,11592,0,2647,0,2142,22680,48899,0,0,0,0,0,
498782,15035,184234,0,25200,0,0,0,2310,0,15034,0,16384,117184,138435,0,0,0,0,0,
7849236,587610,1156778,0,0,0,0,0,32,0,587609,0,9100,1156951,3791114,1147648,0,0,0,0,
